"RUETRI","RUE","NORUED","NORUEF","PAIRIM","CDETABM"
"ANDERSEN            ","Passage Hans Christian Andersen                                 ",2,99998,"P","Ecole Maternelle Anne FRANK                                 "
"ANDERSON            ","Allée James Anderson                                            ",1,99999,"I","Ecole Maternelle TERESA                                     "
"ANDERSON            ","Allée James Anderson                                            ",2,99998,"P","Ecole Maternelle TERESA                                     "
"ANDRE               ","Parc Edouard André                                              ",1,99999,"I","Ecole Maternelle Marie PAPE-CARPANTIER                      "
"ANDRE               ","Parc Edouard André                                              ",2,99998,"P","Ecole Maternelle Marie PAPE-CARPANTIER                      "
"ANEMONES            ","Rue des Anémones                                                ",1,99999,"I","Ecole Maternelle Simone SIGNORET                            "
"ANEMONES            ","Rue des Anémones                                                ",2,99998,"P","Ecole Maternelle Simone SIGNORET                            "
"ANGELVIN            ","Impasse Angelvin                                                ",1,99999,"I","Ecole Maternelle Francis GARNIER                            "
"ANGELVIN            ","Impasse Angelvin                                                ",2,99998,"P","Ecole Maternelle Francis GARNIER                            "
"ANGLADA             ","Rue du Professeur Joseph Anglada                                ",1,99999,"I","Ecole Maternelle Charlie CHAPLIN                            "
"ANGLADA             ","Rue du Professeur Joseph Anglada                                ",2,99998,"P","Ecole Maternelle Charlie CHAPLIN                            "
"ANJOU               ","Place Louis d'Anjou                                             ",1,99999,"I","Ecole Maternelle M. CALLAS                                  "
"ANJOU               ","Place Louis d'Anjou                                             ",2,99998,"P","Ecole Maternelle M. CALLAS                                  "
"ANNE                ","Rue Sainte Anne                                                 ",1,99999,"I","Ecole Maternelle PASTEUR                                    "
"ANNE                ","Rue Sainte Anne                                                 ",2,99998,"P","Ecole Maternelle PASTEUR                                    "
"ANOUBLES            ","Rue des Anoubles                                                ",1,99999,"I","Ecole Maternelle Jean COCTEAU                               "
"ANOUBLES            ","Rue des Anoubles                                                ",2,99998,"P","Ecole Maternelle Jean COCTEAU                               "
"ANOUILH             ","Allée Jean Anouilh                                              ",1,99999,"I","Ecole Maternelle Jean COCTEAU                               "
"ANOUILH             ","Allée Jean Anouilh                                              ",2,99998,"P","Ecole Maternelle Jean COCTEAU                               "
"ANQUETIL            ","Place Jacques Anquetil                                          ",1,99999,"I","Ecole maternelle aliénor d'AQUITAINE                        "
"ANQUETIL            ","Place Jacques Anquetil                                          ",2,99998,"P","Ecole maternelle aliénor d'AQUITAINE                        "
"ANTERRIEU           ","Rue Anterrieu                                                   ",1,99999,"I","Ecole Maternelle Docteur ROUX                               "
"ANTERRIEU           ","Rue Anterrieu                                                   ",2,99998,"P","Ecole Maternelle Docteur ROUX                               "
"ANTHEMIS            ","Rue des Anthémis                                                ",1,99999,"I","Ecole Maternelle Louis FIGUIER                              "
"ANTHEMIS            ","Rue des Anthémis                                                ",2,99998,"P","Ecole Maternelle Louis FIGUIER                              "
"ANTIGONE            ","Boulevard d'Antigone                                            ",1,99999,"I","Ecole Maternelle Vasco de GAMA                              "
"ANTIGONE            ","Boulevard d'Antigone                                            ",2,99998,"P","Ecole Maternelle ARISTOTE                                   "
"ANTOINE             ","Rue Saint Antoine                                               ",1,99999,"I","Ecole Maternelle Docteur ROUX                               "
"ANTOINE             ","Rue Saint Antoine                                               ",2,99998,"P","Ecole Maternelle Docteur ROUX                               "
"ANTOINE             ","Rue Etienne Antoine                                             ",1,99999,"I","Ecole Maternelle Anatole FRANCE                             "
"ANTOINE             ","Rue Etienne Antoine                                             ",2,99998,"P","Ecole Maternelle Anatole FRANCE                             "
"ANTONELLI           ","Avenue du Professeur Etienne Antonelli                          ",1,99999,"I","Ecole Maternelle Anne FRANK                                 "
"ANTONELLI           ","Avenue du Professeur Etienne Antonelli                          ",2,99998,"P","Ecole Maternelle Anne FRANK                                 "
"ANTONIN ARTAUD      ","Rond-point Antonin Artaud                                       ",1,99999,"I","Ecole Maternelle Pablo NERUDA                               "
"ANTONIN ARTAUD      ","Rond-point Antonin Artaud                                       ",2,99998,"P","Ecole Maternelle Pablo NERUDA                               "
