"IDENT","NOM","VLEGALE","REF","DDEBUT","DFIN","SENS","PHJM","PHJS","TJM","COMMENTAIR","MOIS","ANNEE","TYPECOMPTA","IDENTSIG"
"3230TR6761","Rue Professeur Henri Serre",50,"931",38701,38707,"Charles-Broussonnet",563,504,6259,"Compteur défectueux",12,2005,"Pneumatique",6761
"3230TR6761","Rue Professeur Henri Serre",50,"678",38016,38022,"Bertrand-Broussonnet",917,811,9000,"#N/A",1,2004,"Pneumatique",6761
"2368TR1551","Rue Professeur Henri Roseau",30,"1659",39826,39832,"Angouléme-Camus",243,218,2032,"#N/A",1,2009,"Pneumatique",1551
"2368TR1551","Rue Professeur Henri Roseau",30,"1660",39826,39832,"Camus-Angouléme",191,372,2159,"#N/A",1,2009,"Pneumatique",1551
"2368TR1624","Rue Professeur Henri Roseau",50,"1368",39456,39462,"Camus-Angoulème",218,274,1904,"#N/A",1,2008,"Pneumatique",1624
"2368TR1624","Rue Professeur Henri Roseau",50,"1367",39456,39462,"Angoulème-Camus",299,222,2116,"#N/A",1,2008,"Pneumatique",1624
"2368TR1624","Rue Professeur Henri Roseau",50,"1323",39409,39415,"Angoulème-Camus",196,219,1704,"R.A.S",11,2007,"Pneumatique",1624
"2368TR1624","Rue Professeur Henri Roseau",50,"1324",39409,39415,"Camus- Angoulème",156,311,1719,"R.A.S",11,2007,"Pneumatique",1624
"2368TR1551","Rue Professeur Henri Roseau",50,"1164",39057,39063,"Angouleme-Marquerose",168,232,2145,"#N/A",12,2006,"Pneumatique",1551
"2368TR1551","Rue Professeur Henri Roseau",50,"1165",39057,39063,"Marquerose-Angouleme",335,373,2428,"#N/A",12,2006,"Pneumatique",1551
"2368TR1530","Rue Professeur Henri Roseau",50,"206",35742,35748,"Marquerose-Angouleme",31,53,384,"#N/A",11,1997,"Pneumatique",1530
"2368TR1530","Rue Professeur Henri Roseau",50,"207",35742,35748,"Angouleme-Marquerose",57,50,462,"#N/A",11,1997,"Pneumatique",1530
"1791TR4094","Rue Pouget",30,"1468",39604,39610,"Epee-Cazeirgues",46,42,326,"#N/A",6,2008,"Pneumatique",4094
"1791TR4297","Rue Pouget",30,"1467",39604,39610,"Epee-Cazeirgues",42,41,318,"#N/A",6,2008,"Pneumatique",4297
"2935TR6784","Rue Poséidon",9999,"CT67_2011-03-21.xls",40623,40629,"Cartier-Aéroport",137,146,1587,,3,2011,"Regulation",6784
"2935TR6784","Rue Poséidon",50,"1147",39032,39038,"Aeroport-Cartier",128,318,1687,"#N/A",11,2006,"Pneumatique",6784
"2935TR6069","Rue Poséidon",50,"1149",39032,39038,"Juvenal-Cartier",140,162,1279,"#N/A",11,2006,"Pneumatique",6069
"1774TR96","Rue Poitevine",50,"1946",40217,40223,"Ledru-Amandier",13,8,50,"#N/A",2,2010,"Pneumatique",96
"1765TR4718","Rue Plantade",30,"2007",40271,40277,"Montcalm-Courreau",74,152,468,"#N/A",4,2010,"Magnétique",4718
"1765TR4718","Rue Plantade",50,"720",38135,38141,"Giral-Courreau",32,20,63,"#N/A",5,2004,"Pneumatique",4718
"1757TR5098","Rue Placentin",50,"906",38678,38684,"Foch-Placentin",27,24,175,"#N/A",11,2005,"Pneumatique",5098
"1757TR5098","Rue Placentin",50,"745",38251,38257,"Foch-Palais",58,44,481,"#N/A",9,2004,"Pneumatique",5098
"1754TR4757","Rue Pitot",9999,"CT48_2011-03-21.xls",40623,40629,"Henry IV-Assas",177,153,1831,,3,2011,"Regulation",4757
"1754TR4757","Rue Pitot",9999,"CT49_2011-03-21.xls",40623,40629,"Assas-Henry IV",108,145,1435,,3,2011,"Regulation",4757
"1754TR4756","Rue Pitot",50,"862",38609,38615,"Vialleton-Assas",334,471,3266,"#N/A",9,2005,"Pneumatique",4756
"1754TR4757","Rue Pitot",50,"861",38609,38615,"Assas-Vialleton",908,826,5348,"Compteur défectueux",9,2005,"Pneumatique",4757
"1754TR4756","Rue Pitot",50,"574",37651,37657,"Aviler-Assas",178,307,2587,"#N/A",1,2003,"Pneumatique",4756
"1754TR4756","Rue Pitot",50,"575",37651,37657,"Assas-Aviler",694,621,8201,"#N/A",1,2003,"Pneumatique",4756
"2500TR1499","Rue Pierre Corneille",50,"1343",39409,39415,"Marquerose-Maurin",269,194,1806,"Rapport Lissé",11,2007,"Pneumatique",1499
"2500TR1499","Rue Pierre Corneille",50,"1342",39409,39415,"Maurin-Marquerose",199,511,2406,"R.A.S",11,2007,"Pneumatique",1499
"2500TR1504","Rue Pierre Corneille",50,"1336",39409,39415,"Passerines-Marquerose",64,153,733,"R.A.S",11,2007,"Pneumatique",1504
"2500TR1504","Rue Pierre Corneille",50,"1335",39409,39415,"Marquerose-Passerines",89,69,473,"R.A.S",11,2007,"Pneumatique",1504
"2500TR1504","Rue Pierre Corneille",50,"832",38507,38513,"Maurin-Marquerose",52,129,673,"#N/A",6,2005,"Pneumatique",1504
"2500TR1504","Rue Pierre Corneille",50,"831",38507,38513,"Marquerose-Maurin",232,166,1198,"#N/A",6,2005,"Pneumatique",1504
"1731TR6331","Rue Pierre Causse",50,"2050",40333,40339,"Liberté-Guesde",434,407,3713,"#N/A",6,2010,"Pneumatique",6331
"1731TR4964","Rue Pierre Causse",30,"1422",39536,39542,"Liberté-Causse",298,324,2774,"#N/A",3,2008,"Pneumatique",4964
"1731TR6331","Rue Pierre Causse",30,"1424",39536,39542,"Liberté-Causse",305,350,1546,"#N/A",3,2008,"Pneumatique",6331
"1731TR6331","Rue Pierre Causse",30,"828",38505,38511,"Liberte-Guesde",178,302,2195,"#N/A",6,2005,"Pneumatique",6331
"1730TR2663","Rue Pierre Cardenal",50,"1716",39885,39891,"Peyre-Orange",41,49,318,"Rapport Lissé",3,2009,"Pneumatique",2663
"1730TR2663","Rue Pierre Cardenal",50,"1715",39885,39891,"Orange-Peyre",38,44,297,"Rapport Lissé",3,2009,"Pneumatique",2663
