"CIRCULATIO,C,50","CODCOMM,C,6","DOMAINE,C,50","HIERARCHIE,C,50","ID_ARC,N,10,0","F_ID_NODE,N,10,0","LONGUEUR,N,19,8","NOTES,C,80","NUM_D_D,N,10,0","NUM_D_F,N,10,0","NUM_G_D,N,10,0","NUM_G_F,N,10,0","NUMERO,C,20","OCCUPATION,C,50","PERIMETRE,N,19,8","RIVOLI,C,4","SUF_D_D,C,3","SUF_D_F,C,3","SUF_G_D,C,3","SUF_G_F,C,3","SURFACE,N,19,8","SYMBOL,N,10,0","T_ID_NODE,N,10,0","TYPE,C,50","DUOP,C,1","PROPRIO,C,50","ZAC,C,100","SHAPE_LEN,N,19,11","tarifs2011,C,50"
"DOUBLE SENS","340172","Publique",,4947,3993,"251,8",,0,0,0,0,"FILAIRE_4947",,0,"2032",,,,,0,0,4018,,"N",,,"251,767673999",
"DOUBLE SENS","340172","Publique",,18376,16080,"11,5",,0,0,0,0,,,0,"3054",,,,,0,0,16077,,"N",,,"11,5186660656",
"DOUBLE SENS","340172","Publique",,2490,2165,"111,9",,0,0,0,0,"FILAIRE_2490",,0,"1208",,,,,0,0,2172,,"N",,,"111,881604056",
"DOUBLE SENS","340172","Publique",,17553,3993,136,,0,0,0,0,,,0,"3093",,,,,0,0,3995,,"N",,,"135,963790606",
"DOUBLE SENS","340172","Publique",,18377,16077,"11,2",,0,0,0,0,,,0,"3054",,,,,0,0,16078,,"N",,,"11,2393201596",
"SENS UNIQUE","340172","Publique",,2487,2169,"48,8",,0,0,0,0,"FILAIRE_2487",,0,"1883",,,,,0,0,2166,,"N",,,"48,8037867108",
"DOUBLE SENS","340172","Privée",,18375,16080,"661,9",,0,0,0,0,,,0,"3362",,,,,0,0,5049,,"N",,,"661,888913797",
"DOUBLE SENS","340172","Publique",,3874,3305,"74,1",,0,0,0,0,"FILAIRE_3874",,0,"1501",,,,,0,0,16079,,"N",,,"74,103884419",
"SENS UNIQUE","340172","Publique",,4946,3993,"143,7",,0,0,0,0,"FILAIRE_4946",,0,"1731",,,,,0,0,4000,,"N",,,"143,739188535",
"DOUBLE SENS","340172","Publique",,18379,16079,"9,2",,0,0,0,0,,,0,"3054",,,,,0,0,16080,,"N",,,"9,1889170706",
"SENS UNIQUE","340172","Publique",,2486,2165,"47,3",,0,0,0,0,"FILAIRE_2486",,0,"1883",,,,,0,0,2168,,"N",,,"47,3422609739",
"DOUBLE SENS","340172","Publique",,17636,15461,"34,8",,0,0,0,0,,,0,"2032",,,,,0,0,3993,,"N",,,"34,7816696262",
"DOUBLE SENS","340172","Publique",,2495,2166,"175,4",,0,0,0,0,"FILAIRE_2495",,0,"1000",,,,,0,0,2177,,"N",,,"175,363803348",
"SENS UNIQUE","340172","Publique",,18352,2166,19,,0,0,0,0,,,0,"1883",,,,,0,0,2165,,"N",,,"19,0201034984",
"DOUBLE SENS","340172","Publique",,18254,15979,"71,1",,0,0,0,0,,,0,"1511",,,,,0,0,16078,,"N",,,"71,1186416502",
"DOUBLE SENS","340172","Publique",,18378,16078,18,,0,0,0,0,,,0,"3054",,,,,0,0,16079,,"N",,,"17,9798024291",
"SENS UNIQUE","340172","Publique",,2533,2166,"163,6",,0,0,0,0,"FILAIRE_2533",,0,"543",,,,,0,0,2214,,"N",,,"163,644665355",
"SENS UNIQUE","340172","Publique",,5504,4358,47,,0,0,0,0,"FILAIRE_5504",,0,"1087",,,,,0,0,16317,,"N",,,"46,9974762152",
"SENS UNIQUE","340172","Publique",,6630,5072,"72,90000153",,0,0,0,0,"FILAIRE_6630",,0,"3363",,,,,0,0,5070,,"N",,,"72,9019725479",
"SENS UNIQUE","340172","Privée",,2232,1947,"106,90000153",,0,0,0,0,"FILAIRE_2232",,0,"1102",,,,,0,0,1948,,"N",,,"106,934594787",
"DOUBLE SENS","340172","Publique",,18638,16317,"7,9",,0,0,0,0,,,0,"2352",,,,,0,0,16318,,"N",,,"7,9419486331",
"SENS UNIQUE","340172","Publique",,5495,4352,"84,6",,0,0,0,0,"FILAIRE_5495",,0,"1837",,,,,0,0,16318,,"N",,,"84,594990748","orange"
"DOUBLE SENS","340172","Publique",,18715,16357,"14,3",,0,0,0,0,,,0,"2023",,,,,0,0,16397,,"N",,,"14,3262529993","jaune"
"SENS UNIQUE","340172","Publique",,18635,16320,"152,6",,0,0,0,0,,,0,"1837",,,,,0,0,4346,,"N",,,"152,597891687","orange"
"DOUBLE SENS","340172","Publique",,18733,1944,"43,3",,0,0,0,0,,,0,"2523",,,,,0,0,16417,,"N",,,"43,3312348096",
"SENS UNIQUE","340172","Publique",,5766,4525,"12,5",,0,0,0,0,"FILAIRE_5766",,0,"1087",,,,,0,0,4527,,"N",,,"12,5010490156","jaune"
"SENS UNIQUE","340172","Publique",,18713,16337,"42,2",,0,0,0,0,"FILAIRE_18713",,0,"2023",,,,,0,0,16377,,"N",,,"42,2394854072","jaune"
"DOUBLE SENS","340172","Publique",,871,858,"98,2",,0,0,0,0,"FILAIRE_871",,0,"1172",,,,,0,0,825,,"N",,"NOUVEAU SAINT ROCH","98,1603481911",
,,"Publique départementale",,14773,12777,171,"RD 65",0,0,0,0,"FILAIRE_14773",,0,"9999",,,,,0,0,16417,,"N",,,"170,962285051",
"SENS UNIQUE","340172","Publique",,874,861,"101,5",,0,0,0,0,"FILAIRE_874",,0,"1005",,,,,0,0,862,,"N",,,"101,548817236","jaune"
"SENS UNIQUE","340172","Publique",,5519,4362,"58,3",,0,0,0,0,"FILAIRE_5519",,0,"631",,,,,0,0,4366,,"N",,,"58,308882247","orange"
"SENS UNIQUE","340172","Publique",,6631,5071,120,,0,0,0,0,"FILAIRE_6631",,0,"3363",,,,,0,0,5072,,"N",,,"120,092656605",
"SENS UNIQUE","340172","Publique",,888,825,"84,2",,0,0,0,0,"FILAIRE_888",,0,"1635",,,,,0,0,873,,"N",,"NOUVEAU SAINT ROCH","84,2263455414",
"DOUBLE SENS","340172","Domaine Privé Ville",,9593,7898,"49,20000076","Convention d'occupation signée avec la CAM (exploitation du conservatoire)",0,0,0,0,,"Piéton",0,"2301",,,,,0,0,4092,,"O","VILLE",,"49,1906730949",
"DOUBLE SENS","340172","Domaine Privé Ville",,5048,4093,"22,5","Convention d'occupation signée avec la CAM (exploitation du conservatoire)",0,0,0,0,"FILAIRE_5048","Piéton",0,"2301",,,,,0,0,7898,,"O","VILLE",,"22,4606224994",
,,"Domaine Privé Ville",,19253,16857,"131,5",,0,0,0,0,"FILAIRE_19253","Chemin",0,,,,,,0,0,16858,,"O","VILLE",,"131,469914308",
"DOUBLE SENS","340172","Privée",,5865,4592,"118,09999847","Servitude de réseaux ""eaux pluviales"" (DS0132 et DS0181)",0,0,0,0,"FILAIRE_5865",,0,"2363",,,,,0,0,4591,,"O",,,"118,167069151",
"SENS UNIQUE","340172","Publique",,1655,1472,102,,0,0,0,0,"FILAIRE_1655",,0,"1090",,,,,0,0,1475,,"N",,,"102,0662356",
"SENS UNIQUE","340172","Publique",,13553,1475,"36,09999847",,0,0,0,0,,,0,"1173",,,,,0,0,11617,,"N",,,"36,0726060551",
"DOUBLE SENS","340172","Publique",,3138,2698,"38,09999847",,0,0,0,0,"FILAIRE_3138",,0,"1121",,,,,0,0,2710,,"N",,,"38,0680698184",
"DOUBLE SENS","340172","Publique",,3139,2688,"216,19999695",,0,0,0,0,"FILAIRE_3139",,0,"1228",,,,,0,0,2709,,"N",,,"216,310415027",
"DOUBLE SENS","340172","Privée",,3452,2964,"62,59999847",,0,0,0,0,"FILAIRE_3452",,0,"1165",,,,,0,0,2961,,"N",,,"62,6646704392",
"DOUBLE SENS","340172","Privée",,3453,2964,"42,70000076",,0,0,0,0,"FILAIRE_3453",,0,"1093",,,,,0,0,2965,,"N",,,"42,742413136",
"DOUBLE SENS","340172","Privée",,3454,2972,"129,8999939",,0,0,0,0,"FILAIRE_3454",,0,"2780",,,,,0,0,2967,,"N",,,"129,940473962",
"DOUBLE SENS","340172","Publique",,3455,2968,"94,69999695",,0,0,0,0,"FILAIRE_3455",,0,"2778",,,,,0,0,2967,,"N",,,"94,7009464452",
"DOUBLE SENS","340172","Publique",,3456,2967,"135,1000061",,0,0,0,0,"FILAIRE_3456",,0,"2778",,,,,0,0,2969,,"N",,,"135,179837934",
"DOUBLE SENS","340172","Publique départementale",,3457,2970,"366,1000061","RD 65",0,0,0,0,"FILAIRE_3457",,0,"1568",,,,,0,0,2969,,"N",,,"366,260097623",
"DOUBLE SENS","340172","Mixte",,3459,2972,"85,69999695",,0,0,0,0,"FILAIRE_3459",,0,"757",,,,,0,0,2973,,"N",,,"85,7459313595",
"DOUBLE SENS","340172","Privée",,3460,2973,"73,09999847",,0,0,0,0,"FILAIRE_3460",,0,"757",,,,,0,0,2974,,"N",,,"73,1760503775",
"DOUBLE SENS","340172","Mixte",,3461,2972,"172,8999939",,0,0,0,0,"FILAIRE_3461",,0,"757",,,,,0,0,2975,,"N",,,"172,977711958",
"DOUBLE SENS","340172","Privée",,3462,2973,"228,80000305",,0,0,0,0,"FILAIRE_3462",,0,"757",,,,,0,0,2974,,"N",,,"228,928646559",
"DOUBLE SENS","340172","Privée",,3463,2974,"23,60000038",,0,0,0,0,"FILAIRE_3463",,0,"2835",,,,,0,0,2976,,"N",,,"23,6081012621",
