"CAR_NUM,C,50","CAR_LIEU,C,254","SON_NIVEAU,C,50","Coord_X,C,50","Coord_Y,C,50"
905,Bologne / Bari,Aucun,"3,81762313541403","43,6283540045668"
843,Ganges / Doyen Giraud / Occitanie,Aucun,"3,84953153821661","43,6343210651142"
838,Moulins / Navacelles,Aucun,"3,84482590928166","43,6368210936245"
920,Cardonille / Truc,Aucun,"3,84573511613449","43,6355220510677"
842,Doyen Giraud / Entrée C.H.R. Lapeyronie,Aucun,"3,85186237721205","43,6323631954536"
841,Ganges / Doyen Giraud / Lapeyronie / Anglada,Aucun,"3,85334790436077","43,631344637902"
918,Moulins / Saint Priest,Aucun,"3,84320663092419","43,6337017773147"
922,Ganges / Cardonille / Doyen Turchini,Aucun,"3,8479660687882","43,6362345068271"
919,Moulins / Cardonille,Aucun,"3,84374178046888","43,6348830685996"
840,Ganges / Palmiers / Colombière,Aucun,"3,85713737439935","43,6289802457548"
846,Diacon / Fliche / Triolet,Aucun,"3,86105589284627","43,6288532889001"
839,Ganges / Flahault / Diacon,Aucun,"3,85825632059375","43,6279360286716"
727,Grasset / Pezet / Dunant,Partiel,"3,8663908870184","43,626491214518"
848,Pezet / Truel,Partiel,"3,86835875549761","43,6282630996776"
852-1,Place De La Voie Domitienne,Aucun,"3,87025852718685","43,6298471562433"
728,Justice / Mende / Dunant,Tout,"3,869720173342","43,626900627638"
726,Jalade / Sabatier D'Espeyran,Aucun,"3,86452926118791","43,6255412152916"
847,Flahault / Valteline,Aucun,"3,86089410662564","43,625555865044"
928,Grasset / Villeneuve / Lenormand,Aucun,"3,86713435546694","43,6246852917438"
926,Bertin Sans / Jalade / Diacon,Aucun,"3,86422762644461","43,6282207082172"
725,Flahault / Voie Domitienne,Aucun,"3,86216038905154","43,6238066319206"
608,Flahault / Hospices,Aucun,"3,863780072765","43,6224483176657"
607,Flahault / Adhémard,Partiel,"3,86409598212869","43,6219313001455"
506,Flahault / Rech,Aucun,"3,86529504510588","43,6200642230383"
606,Grasset / Adhémard,Aucun,"3,86797693428687","43,6228804810588"
503,Grasset / Marchand / Crova,Aucun,"3,86857373955825","43,6216052101599"
404,Place Godechot,Aucun,"3,86897225048529","43,6203575941631"
403,Flahault / Broussonnet,Partiel,"3,8674793134074","43,6174929613985"
402,Broussonnet / Chancel,Aucun,"3,86955703251869","43,6167663690914"
321,Broussonnet / Bonnard,Aucun,"3,87139579813746","43,6161184643762"
930,Saint Charles / Catelan,Aucun,"3,8695195398625","43,6176926678055"
820,Alco / Hôtel Du Département,Aucun,"3,8378614604227","43,6197208549369"
319,Assas / Doria,Aucun,"3,86740952187821","43,6128011071663"
318,Arceaux / Saint Louis,Aucun,"3,86657267427266","43,6117027832983"
200,Assas / Pitot,Tout,"3,86822015187467","43,612265763836"
509,Place Bouschet De Bernard,Partiel,"3,86738807245525","43,6059138184248"
508,Place Roger Salengro,Tout,"3,86711699572413","43,607385370906"
106,Jeu De Paume / Saint Guilhem,Aucun,"3,87303156480692","43,6085840353703"
